29;54;32;38
30;16;50;49
54;47;45;28
29;34;30;46
31;50;55;30
30;26;27;33
57;50;57;39
31;38;51;22
47;45;16;41
29;19;19;48
48;47;36;26
36;39;35;58
38;28;45;40
38;21;37;52
41;44;29;18
46;44;49;36
20;37;40;41
39;54;49;30
31;45;34;24
43;41;28;40
19;24;51;41
43;33;35;23
44;55;35;33
30;45;18;24
27;40;26;19
36;46;45;20
43;16;40;21
19;26;33;34
51;17;20;46
57;60;17;60
24;21;25;25
41;28;25;23
59;46;49;31
25;32;35;34
53;39;26;37
40;40;54;53
27;24;42;44
38;53;55;32
57;17;30;36
44;25;16;57
35;56;44;49
16;40;58;20
34;39;42;52
47;48;21;34
50;20;23;38
34;42;60;18
44;23;23;21
46;51;42;34
51;51;30;36
49;35;42;51
54;25;43;37
31;29;21;19
29;32;16;54
34;32;53;39
57;20;37;35
15;19;36;57
44;18;17;15
43;17;52;24
28;17;38;54
51;44;49;56
44;42;30;27
28;20;47;25
16;53;54;23
48;18;55;42
45;55;55;51
30;23;26;16
18;46;24;23
52;34;33;59
23;30;52;32
28;21;32;55
48;20;59;16
24;42;35;20
20;32;36;28
50;16;27;25
16;43;41;18
38;32;37;33
19;53;20;19
48;51;17;56
27;49;37;40
56;45;53;29
28;49;18;33
15;46;31;51
34;53;33;19
59;53;54;57
50;17;55;21
49;16;18;53
29;48;21;23
51;55;44;58
49;57;60;24
60;35;15;59
42;51;53;24
18;32;19;53
19;39;22;51
54;18;41;29
58;26;16;25
45;16;29;48
38;26;38;32
52;34;16;24
23;31;17;49
18;36;48;37
17;36;25;19
22;17;59;50
16;31;51;18
40;29;59;30
50;46;41;22
52;25;49;34
33;45;33;21
48;16;26;37
19;58;48;17
52;38;35;48
55;41;59;23
53;22;49;41
58;16;31;36
24;33;48;53
52;24;26;39
34;55;47;27
29;43;18;59
35;20;58;15
56;19;19;36
34;37;45;31
26;26;49;42
16;56;56;55
28;35;28;58
25;59;42;24
51;36;35;18
23;31;34;18
30;57;52;38
39;46;40;24
17;60;33;55
47;21;48;53
37;57;35;30
17;39;27;19
56;16;28;20
24;32;29;36
32;16;30;45
35;45;50;20
60;41;26;60
39;33;42;20
23;24;58;20
36;49;39;38
27;51;34;37
37;52;47;59
27;45;21;54
59;56;33;23
50;25;44;43
40;53;43;57
45;18;32;60
47;56;26;33
37;16;49;44
28;36;33;54
58;59;29;24
40;15;49;46
39;20;40;52
25;47;51;58
36;57;59;49
45;25;54;32
48;57;16;24
28;37;41;34
34;56;17;20
43;40;53;31
21;29;31;31
53;48;37;40
26;47;38;16
50;46;29;49
15;44;53;59
54;26;30;33
35;44;46;37
26;58;31;37
47;15;50;33
19;58;58;32
34;17;51;37
31;26;34;39
33;42;31;34
54;51;36;24
18;57;28;47
38;58;39;48
38;35;18;21
22;52;19;35
20;56;30;20
29;20;29;57
47;27;20;37
19;27;56;48
35;45;52;46
23;23;52;16
22;47;44;38
60;18;42;54
19;32;42;58
35;60;25;16
40;53;51;23
18;21;50;23
31;17;26;16
21;31;34;54
33;25;38;26
58;41;31;32
17;38;20;38
29;18;37;29
46;40;24;16
57;31;17;15
21;22;28;15
20;54;52;16
54;34;54;40
19;37;33;15
53;54;49;48
16;27;59;57
20;30;38;24
16;49;15;42
46;36;58;50
40;20;45;23
37;17;51;23
26;58;36;51
26;35;42;54
31;36;50;36
23;51;37;34
33;31;29;31
35;47;44;28
58;41;55;30
38;56;17;35
16;39;53;60
27;55;36;54
57;27;48;26
46;55;32;43
21;46;24;16
53;23;55;31
29;38;22;39
40;17;37;46
52;36;48;44
46;47;40;20
33;21;43;53
24;53;48;58
17;46;44;47
28;36;44;28
24;41;25;26
29;23;45;32
18;21;58;29
25;19;54;15
57;22;31;41
52;29;42;32
58;41;59;26
28;25;58;19
57;25;45;58
30;35;57;26
50;51;16;36
16;45;19;56
58;26;21;50
60;54;42;51
32;33;48;59
53;60;40;15
33;31;32;60
55;42;19;30
27;32;31;28
47;30;48;44
22;54;48;32
41;17;20;28
48;43;33;31
18;16;26;53
56;22;45;18
43;21;47;51
59;43;52;47
54;24;36;50
39;21;43;20
17;37;57;23
26;22;41;27
56;52;32;20
27;19;19;49
57;48;32;43
20;15;24;34
26;41;35;33
23;19;56;21
53;37;36;32
51;15;19;55
47;34;60;30
57;45;55;19
37;38;57;57
27;50;46;23
39;24;45;16
44;26;36;25
17;51;47;27
22;53;32;25
15;31;36;44
42;55;25;43
35;42;39;44
60;27;35;50
38;30;40;28
23;36;50;44
54;36;33;32
25;23;30;36
27;28;34;29
28;42;41;35
26;44;49;42
18;35;50;30
43;18;40;53
29;38;28;52
52;46;16;30
35;30;46;32
47;22;51;45
17;22;49;25
50;24;30;23
25;29;35;44
43;22;20;17
29;56;15;54
40;39;39;26
39;18;27;53
46;51;48;41
42;24;60;23
18;31;43;58
16;50;29;15
44;55;55;59
58;53;36;52
58;46;40;35
40;19;19;18
24;15;52;44
51;53;36;34
30;36;18;37
29;41;32;56
60;29;22;26
19;39;58;38
58;46;15;55
52;31;35;49
42;23;44;54
43;31;34;53
51;43;53;55
40;42;44;18
38;34;35;25
49;24;41;54
43;23;53;38
25;23;16;58
59;43;28;34
24;40;60;53
39;49;27;55
22;41;17;46
24;39;34;16
55;45;22;15
16;42;31;57
59;36;18;22
46;37;38;16
45;48;60;36
27;20;22;48
51;56;28;32
16;17;45;48
38;22;49;50
27;41;41;20
35;16;21;20
22;52;45;59
26;53;34;36
15;59;59;56
30;39;43;31
37;36;57;41
36;15;54;18
60;38;29;16
16;24;20;31
56;25;41;36
55;39;51;16
37;60;47;54
18;34;17;37
25;35;24;41
50;52;43;42
23;38;25;49
50;32;46;43
35;17;53;43
40;25;42;20
58;27;22;53
19;31;16;30
17;34;15;42
46;15;42;34
16;28;32;33
33;26;54;51
18;39;16;26
56;60;54;15
56;28;49;50
29;38;56;20
34;53;43;49
47;58;25;49
43;36;31;21
26;42;54;50
53;41;23;31
53;47;56;47
58;58;27;50
18;35;52;23
37;49;32;16
15;19;36;36
27;38;37;20
55;48;48;17
51;43;40;31
40;44;46;37
39;18;50;26
39;16;32;50
40;34;56;48
47;47;58;18
26;59;18;23
55;23;25;30
41;50;48;44
15;25;41;36
53;37;52;44
37;55;17;28
20;57;27;60
41;32;22;36
18;46;40;39
47;15;23;50
27;23;44;23
48;59;40;42
21;21;39;40
55;49;41;34
22;20;60;44
24;20;51;55
19;24;58;21
32;21;32;51
58;36;46;41
20;55;39;35
35;26;54;59
30;31;59;45
34;19;19;44
44;42;33;39
35;35;26;58
25;18;39;55
52;40;29;58
33;22;34;47
30;47;27;30
20;35;59;60
21;45;17;29
60;34;29;42
38;27;49;34
56;43;51;30
41;48;30;55
58;48;32;27
39;38;54;31
20;59;26;57
40;57;47;56
32;32;24;59
50;33;40;33
37;30;59;21
33;25;34;28
17;54;17;39
28;19;25;33
29;44;60;46
59;15;23;21
18;53;31;37
43;37;51;32
56;49;38;53
21;50;37;25
16;23;25;46
45;46;42;20
23;19;20;21
56;52;53;57
50;60;57;53
36;60;46;20
34;32;24;38
35;29;34;49
44;52;59;57
38;41;24;32
58;40;21;28
35;37;58;24
34;29;26;49
28;45;16;51
21;19;54;59
54;31;38;47
41;45;24;48
19;58;57;34
22;23;33;17
19;45;27;38
47;18;28;35
20;16;52;60
56;29;57;34
37;20;27;50
20;41;52;54
41;22;36;19
51;28;35;49
56;56;52;40
41;27;21;37
40;53;31;16
43;29;31;31
18;32;18;57
46;54;33;53
24;25;51;26
44;47;49;60
50;45;51;23
53;24;17;56
54;58;17;23
34;55;21;42
28;20;52;51
55;49;53;16
50;42;60;16
51;27;49;28
47;37;28;32
54;52;36;60
43;55;42;21
57;29;27;19
34;47;26;51
28;57;25;42
44;27;23;54
32;32;52;33
49;55;35;56
32;41;34;28
35;44;33;20
32;43;53;34
57;52;21;36
37;44;44;58
43;45;52;20
29;17;35;44
16;33;28;36
58;31;37;59
